t,XA0,XA1,XA2,XA3,XA4,XA5,XA6,XA7,XA8,
1.,8.6013767179838e-002,0.95365970145398,0.90999610970062,0.85411016901154,0.7828334650511,0.69208528361529,0.57588021796415,0.4206098120281,0.1999562145909,
2.,0.16333276473595,0.93851426154476,0.89383148402702,0.83730753497886,0.76608133303238,0.67647493806348,0.56298934706405,0.41272432422189,0.19983843923749,
3.,0.23316938552424,0.92437402320379,0.8787684887541,0.82170256129535,0.75059356100357,0.66211687283529,0.55118738048612,0.40550523620235,0.1996572117077,
4.,0.29584569648374,0.9112526220916,0.86481814063668,0.80729840633604,0.7363602766389,0.64898581676655,0.54043846431368,0.39892397343899,0.19941545108929,
5.,0.35206339496053,0.89910681857256,0.85192848126035,0.79402980888803,0.72330036127528,0.63698782532681,0.53064927878653,0.39291810895816,0.19911925743523,
6.,0.4024598038009,0.88789200505305,0.84004603711846,0.78183086929098,0.71133416316272,0.62603340544519,0.52173340523867,0.38743103036802,0.19877413626747,
7.,0.44761335257685,0.87756159713793,0.82911552027699,0.77063498753294,0.70038348165646,0.61603727742201,0.51361070828235,0.38241127688245,0.1983850527241,
8.,0.48804856235462,0.8680672296212,0.81908027539333,0.76037545186909,0.69037208803675,0.60691857236177,0.50620707716762,0.37781211462737,0.19795648117005,
9.,0.52424060232095,0.85935915728705,0.80988285814942,0.75098607433002,0.68122622427386,0.59860098681569,0.49945416232476,0.37359114731222,0.19749245066924,
10.,0.55661947437262,0.85138678642802,0.80146567753099,0.7424018213515,0.67287504991627,0.59101288429566,0.49328910428219,0.36970995757537,0.19699658666122,
11.,0.58557387073974,0.84409927113345,0.79377164571277,0.73455939994614,0.66525101722102,0.58408733890704,0.48765425414054,0.36613377524872,0.19647214914137,
12.,0.61145474018696,0.83744611954294,0.78674479200474,0.72739777184107,0.65829016351639,0.57776212094123,0.48249688636911,0.36283116960763,0.19592206760893,
13.,0.63457859048446,0.8313777677668,0.78033081002152,0.72085857894651,0.65193231721319,0.57197962780026,0.47776890585484,0.35977376335626,0.19534897301955,
14.,0.65523054867251,0.8258460916614,0.77447751892492,0.7148864728285,0.64612121969588,0.56668676611575,0.4734265518897,0.35693596663696,0.19475522695829,
15.,0.67366719604405,0.82080483807395,0.76913522959053,0.70942934825884,0.64080456953216,0.56183479246601,0.46943010217273,0.3542947297529,0.19414294823285,
16.,0.69011919153564,0.81620996688227,0.764257014529,0.70443848636916,0.63593399817512,0.55737912082746,0.46574357998726,0.35182931357119,0.19351403707375,
17.,0.70479369510142,0.81201990284256,0.75979888630059,0.69986861658592,0.63146498780678,0.55327910498232,0.46233446756131,0.34952107674999,0.19287019711821,
18.,0.7178766013865,0.80819570189212,0.75571989314141,0.69567790862029,0.62735674243879,0.54949780370919,0.45917342829845,0.34735327903175,0.19221295534534,
19.,0.72953459337043,0.80470114030198,0.75198214284317,0.69182790663313,0.62357202309885,0.54600173586192,0.4562340401421,0.34531089988648,0.19154368012207,
20.,0.73991702540603,0.80150273721695,0.74855076692033,0.6882834176032,0.62007695712587,0.54276063152703,0.45349254186182,0.34338047179485,0.19086359751175,
21.,0.7491576450595,0.79856972199056,0.74539383709259,0.68501236518011,0.61684083047356,0.53974718445022,0.45092759356846,0.34154992744611,0.19017380598927,
22.,0.75737616323483,0.79587395764893,0.74248224541212,0.68198561914984,0.61383587064335,0.53693680991864,0.44852005230769,0.3398084601031,0.18947528969907,
23.,0.76467968214676,0.79338983109969,0.73978955823348,0.67917680927438,0.61103702655459,0.5343074113358,0.44625276316896,0.33814639636404,0.18876893038415,
24.,0.7711639907334,0.79109411959098,0.73729185286708,0.67656213083668,0.60842175039815,0.53183915786595,0.44411036599031,0.33655508053498,0.18805551810639,
25.,0.7769147370411,0.788965841616,0.7349675443278,0.67412014783135,0.60596978536348,0.52951427477507,0.44207911744539,0.33502676981928,0.18733576087014,
26.,0.78200848695792,0.78698609909694,0.73279720819838,0.67183159845718,0.60366296211024,0.52731684746214,0.44014672806426,0.33355453953386,0.18661029325318,
27.,0.78651367842013,0.78513791636654,0.73076340434037,0.66967920642725,0.60148500598416,0.52523263965581,0.43830221356329,0.33213219757503,0.18587968414101,
28.,0.79049147987998,0.783406080259,0.72885050504322,0.66764750063296,0.59942135625415,0.52324892583978,0.43653575973259,0.33075420737868,0.1851444436528,
29.,0.79399656141648,0.78177698455806,0.72704453022117,0.66572264488021,0.59745899806348,0.52135433765376,0.4348386000479,0.32941561864952,0.18440502933993,
30.,0.79707778641314,0.78023848114166,0.72533299144823,0.66389227875029,0.59558630732874,0.51953872378262,0.43320290512732,0.32811200516931,0.18366185173088,
31.,0.79977883123286,0.77877973940894,0.72370474595581,0.66214537011119,0.59379290847004,0.51779302268221,0.43162168313765,0.32683940903379,0.1829152792895,
32.,0.8021387398075,0.77739111496574,0.72214986118921,0.66047207939789,0.59206954459821,0.51610914738199,0.43008869026126,0.3255942907101,0.18216564284756,
33.,0.80419241954045,0.77606402806508,0.72065949011157,0.65886363547607,0.59040795960244,0.51447988154272,0.42859835035884,0.32437348435024,0.18141323956654,
34.,0.8059710844071,0.77479085193039,0.71922575713861,0.65731222268434,0.58880079146199,0.51289878592031,0.42714568299975,0.32317415783953,0.18065833647816,
35.,0.80750265063815,0.7735648108162,0.7178416543661,0.65581087849977,0.58724147603372,0.51136011438704,0.42572623907685,0.32199377710211,0.17990117364841,
36.,0.80881208989203,0.7723798874644,0.71650094760002,0.65435340117544,0.58572416053314,0.50985873868118,0.42433604327279,0.32083007422691,0.17914196700497,
37.,0.80992174436854,0.77123073948091,0.71519809160072,0.65293426664583,0.58424362592105,0.50839008108964,0.42297154269805,0.31968101901705,0.17838091086419,
38.,0.81085160789098,0.77011262407321,0.71392815389682,0.6515485539747,0.58279521742243,0.5069500543116,0.42162956107447,0.31854479360307,0.17761818018963,
39.,0.81161957658805,0.76902133054307,0.71268674650021,0.65019187862312,0.58137478243409,0.50553500779943,0.42030725789117,0.31741976979484,0.17685393261104,
40.,0.81224167244226,0.76795311991126,0.71146996485372,0.64886033283529,0.57997861511649,0.50414167992532,0.419002092011,0.31630448887968,0.17608831022956,
41.,0.81273224263685,0.76690467105433,0.71027433335933,0.6475504324715,0.57860340701032,0.5027671553739,0.41771178925445,0.31519764360351,0.17532144123208,
42.,0.81310413732768,0.76587303275254,0.70909675686332,0.64625906965703,0.57724620306687,0.5014088272134,0.41643431353347,0.3140980620991,0.17455344133524,
43.,0.81336886818964,0.76485558107582,0.70793447751104,0.64498347065906,0.57590436253019,0.50006436314723,0.41516784115088,0.31300469355036,0.17378441507751,
44.,0.81353674983612,0.76384998157043,0.70678503642378,0.64372115844978,0.5745755241579,0.49873167549563,0.41391073791951,0.31191659540362,0.17301445697546,
45.,0.81361702598397,0.76285415574697,0.70564623969318,0.64246991945907,0.5732575753145,0.49740889450117,0.41266153879194,0.31083292195743,0.17224365255906,
46.,0.81361798203326,0.76186625141084,0.70451612823109,0.64122777406525,0.57194862451572,0.49609434459323,0.4114189297241,0.30975291418041,0.17147207929864,
47.,0.81354704554862,0.76088461641604,0.70339295105469,0.639992950415,0.57064697704439,0.49478652328435,0.4101817315257,0.30867589062296,0.17069980743536,
48.,0.81341087596603,0.75990777546246,0.70227514162673,0.63876386120406,0.5693511132969,0.49348408240601,0.40894888547746,0.30760123930358,0.16992690072532,
49.,0.81321544470284,0.7589344095936,0.7011612969088,0.63753908308765,0.56805966955551,0.49218581142288,0.40771944051911,0.30652841046331,0.1691534171066,
50.,0.81296610671907,0.75796333808693,0.70005015882044,0.6363173384245,0.56677142091391,0.49089062259303,0.40649254183374,0.30545691009372,0.16837940929728,
51.,0.8126676644619,0.75699350246101,0.69894059782969,0.63509747908999,0.56548526611328,0.48959753776705,0.40526742067356,0.30438629415418,0.16760492533194,
52.,0.81232442502215,0.7560239523538,0.69783159843008,0.63387847212261,0.5642002140728,0.48830567664229,0.40404338528933,0.30331616340359,0.16683000904291,
53.,0.81194025123981,0.75505383305318,0.69672224628654,0.63265938699432,0.56291537192261,0.4870142463088,0.40281981284111,0.30224615877981,0.16605470049227,
54.,0.81151860741416,0.75408237448555,0.69561171685643,0.63143938431859,0.56162993436877,0.48572253194206,0.40159614218184,0.30117595726763,0.16527903635975,
55.,0.8110626002012,0.75310888149062,0.69449926531451,0.63021770583114,0.56034317423898,0.48442988851374,0.40037186741728,0.30010526820241,0.16450305029096,
56.,0.81057501521727,0.75213272522991,0.69338421762985,0.62899366549723,0.55905443407528,0.48313573340676,0.39914653215678,0.29903382996263,0.1637267732104,
57.,0.81005834980995,0.75115333559492,0.69226596266042,0.62776664161593,0.55776311865486,0.48183953983331,0.39791972437902,0.29796140700937,0.16295023360265,
58.,0.80951484240704,0.75017019449601,0.69114394514673,0.62653606980712,0.55646868833414,0.48054083096645,0.39669107184518,0.29688778723582,0.16217345776518,
59.,0.80894649880909,0.74918282992756,0.6900176594997,0.62530143677975,0.55517065312289,0.47923917470582,0.39546023799983,0.29581277959345,0.16139647003571,
60.,0.80835511575085,0.7481908107174,0.68888664429029,0.62406227479215,0.5538685674063,0.47793417900709,0.39422691830633,0.29473621196561,0.16061929299672,
61.,0.80774230202182,0.74719374187912,0.68775047735938,0.62281815672514,0.55256202524212,0.47662548771284,0.39299083696965,0.29365792926208,0.15984194765943,
62.,0.80710949740401,0.74619126049611,0.68660877147584,0.62156869169828,0.55125065616828,0.47531277682965,0.39175174400449,0.29257779171144,0.15906445362948,
63.,0.8064579896574,0.74518303207442,0.68546117047942,0.62031352116738,0.54993412146416,0.47399575120219,0.3905094126117,0.29149567333006,0.15828682925605,
64.,0.80578892975833,0.74416874730917,0.68430734585254,0.61905231544895,0.5486121108149,0.47267414154106,0.38926363682965,0.29041146054948,0.15750909176619,
65.,0.8051033455742,0.74314811921593,0.68314699367161,0.61778477062324,0.54728433933401,0.47134770176566,0.38801422943128,0.28932505098526,0.15673125738586,
66.,0.80440215413789,0.74212088058429,0.68197983189432,0.61651060577339,0.54595054490479,0.47001620662793,0.38676102004042,0.28823635233268,0.15595334144904,
67.,0.80368617266792,0.74108678171602,0.68080559794473,0.61522956052309,0.5446104858054,0.4686794495865,0.38550385344428,0.28714528137604,0.15517535849604,
68.,0.80295612846474,0.74004558841476,0.67962404656203,0.61394139283932,0.5432639385865,0.46733724090436,0.38424258808114,0.2860517630997,0.15439732236226,
69.,0.80221266779969,0.73899708019789,0.67843494788338,0.61264587707087,0.54191069617391,0.46598940594592,0.38297709468484,0.28495572989031,0.15361924625824,
70.,0.80145636390077,0.73794104870533,0.67723808573417,0.61134280219647,0.5405505661719,0.46463578365228,0.38170725506961,0.28385712082088,0.15284114284188,
71.,0.80068772412829,0.73687729628224,0.67603325610268,0.61003197025957,0.53918336934522,0.46327622517557,0.38043296104041,0.28275588100814,0.15206302428374,
72.,0.79990719642384,0.73580563471601,0.67482026577835,0.60871319496917,0.53780893826081,0.46191059265571,0.37915411341576,0.28165196103575,0.15128490232598,
73.,0.79911517510701,0.73472588410991,0.67359893113552,0.60738630044879,0.53642711607202,0.46053875812427,0.37787062115137,0.28054531643656,0.15050678833562,
74.,0.79831200608671,0.73363787187791,0.67236907704665,0.60605112011726,0.53503775543004,0.45916060252232,0.37658240055406,0.27943590722788,0.14972869335279,
75.,0.79749799154675,0.73254143184697,0.67113053591059,0.60470749568739,0.53364071750912,0.45777601482016,0.37528937457661,0.27832369749431,0.14895062813426,
76.,0.79667339415938,0.73143640345494,0.6698831467835,0.60335527626962,0.5322358711335,0.4563848912284,0.37399147218538,0.27720865501344,0.14817260319299,
77.,0.79583844087463,0.73032263103314,0.66862675460107,0.60199431756948,0.53082309199542,0.45498713449081,0.37268862779293,0.27609075091988,0.14739462883386,
78.,0.79499332632863,0.7291999631645,0.66736120948223,0.60062448116904,0.52940226195447,0.45358265325058,0.37138078074935,0.27496995940383,0.1466167151861,
79.,0.7941382159093,0.72806825210872,0.66608636610562,0.59924563388322,0.52797326841012,0.45217136148233,0.37006787488597,0.27384625744073,0.1458388722327,
80.,0.79327324851427,0.72692735328722,0.66480208315093,0.59785764718328,0.5265360037395,0.45075317798322,0.3687498581064,0.27271962454879,0.14506110983715,
81.,0.79239853903178,0.72577712482132,0.6635082227982,0.59646039668037,0.5250903647939,0.44932802591702,0.36742668201992,0.27159004257166,0.14428343776768,
82.,0.79151418057278,0.72461742711789,0.66220465027907,0.59505376166289,0.52363625244797,0.44789583240584,0.3660983016131,0.27045749548361,0.14350586571937,
83.,0.79062024647892,0.72344812249732,0.66089123347438,0.59363762468217,0.52217357119606,0.44645652816463,0.36476467495565,0.26932196921515,0.14272840333426,
84.,0.78971679212918,0.72226907485931,0.65956784255327,0.59221187118135,0.5207022287911,0.44501004717423,0.36342576293717,0.26818345149686,0.14195106021965,
85.,0.78880385656515,0.72108014938249,0.6582343496496,0.59077638916322,0.5192221359216,0.44355632638895,0.36208152903176,0.26704193171973,0.14117384596489,
86.,0.78788146395322,0.71988121225419,0.65689062857167,0.58933106889296,0.517733205923,0.44209530547538,0.36073193908751,0.26589740081035,0.14039677015664,
87.,0.78694962489986,0.71867213042731,0.65553655454199,0.58787580263222,0.51623535451992,0.44062692657925,0.35937696113871,0.26474985111948,0.13961984239289,
88.,0.78600833763481,0.71745277140137,0.65417200396384,0.58641048440156,0.5147284995962,0.43915113411755,0.35801656523825,0.2635992763226,0.13884307229581,
89.,0.78505758907518,0.71622300302531,0.6527968542122,0.58493500976824,0.51321256099005,0.43766787459355,0.3566507233084,0.26244567133144,0.13806646952351,
90.,0.78409735578249,0.71498269331973,0.65141098344625,0.58344927565699,0.51168746031186,0.43617709643225,0.35527940900808,0.26128903221518,0.13729004378095,
91.,0.78312760482318,0.71373171031674,0.65001427044169,0.58195318018149,0.51015312078238,0.43467874983457,0.35390259761512,0.26012935613061,0.13651380482992,
92.,0.78214829454218,0.71246992191538,0.64860659444058,0.58044662249452,0.50860946708943,0.43317278664817,0.35252026592196,0.25896664126018,0.13573776249827,
93.,0.78115937525834,0.71119719575141,0.64718783501729,0.57892950265499,0.5070564252612,0.43165916025357,0.35113239214344,0.25780088675729,0.13496192668852,
94.,0.78016078988928,0.7099133990797,0.64575787195879,0.57740172151033,0.5054939225548,0.43013782546391,0.34973895583576,0.25663209269804,0.13418630738578,
95.,0.77915247451276,0.70861839866827,0.64431658515805,0.57586318059266,0.5039218873584,0.42860873843723,0.34833993782525,0.25546026003892,0.13341091466518,
96.,0.77813435887089,0.7073120607027,0.64286385451931,0.57431378202762,0.50234024910587,0.42707185659992,0.34693532014622,0.25428539057978,0.13263575869876,
97.,0.77710636682282,0.70599425069997,0.64139955987409,0.57275342845463,0.50074893820272,0.42552713858051,0.34552508598701,0.25310748693159,0.13186084976197,
98.,0.77606841675096,0.70466483343085,0.63992358090697,0.5711820229575,0.49914788596222,0.42397454415269,0.34410921964333,0.25192655248854,0.13108619823971,
99.,0.7750204219255,0.70332367285016,0.63843579709039,0.56959946900463,0.49753702455106,0.42241403418678,0.34268770647845,0.25074259140414,0.13031181463206,
100.,0.77396229083117,0.701970632034,0.63693608762743,0.56800567039786,0.49591628694337,0.42084557060893,0.3412605328894,0.2495556085708,0.1295377095597,
101.,0.77289392746015,0.70060557312348,0.63542433140229,0.56640053122925,0.49428560688272,0.41926911636731,0.33982768627875,0.24836560960269,0.12876389376902,
102.,0.77181523157444,0.69922835727445,0.63390040693741,0.56478395584517,0.49264491885119,0.41768463540473,0.33838915503148,0.24717260082155,0.127990378137,
103.,0.77072609894071,0.69783884461257,0.63236419235703,0.56315584881716,0.49099415804503,0.41609209263712,0.33694492849635,0.24597658924509,0.12721717367583,
104.,0.76962642154036,0.69643689419344,0.63081556535656,0.56151611491895,0.48933326035637,0.41449145393737,0.33549499697158,0.24477758257791,0.12644429153736,
105.,0.76851608775736,0.69502236396737,0.62925440317734,0.5598646591092,0.48766216236057,0.41288268612415,0.33403935169429,0.2435755892045,0.12567174301741,
106.,0.76739498254602,0.69359511074843,0.6276805825864,0.55820138651962,0.48598080130864,0.41126575695519,0.33257798483349,0.24237061818438,0.12489953955981,
107.,0.7662629875807,0.69215499018752,0.62609397986097,0.55652620244803,0.48428911512452,0.40964063512484,0.33111088948624,0.24116267924894,0.12412769276044,
108.,0.76511998138933,0.6907018567492,0.62449447077736,0.55483901235608,0.48258704240676,0.40800729026543,0.32963805967686,0.23995178280001,0.12335621437102,
109.,0.76396583947238,0.689235563692,0.62288193060394,0.5531397218713,0.4808745224344,0.4063656929522,0.32815949035872,0.23873793990997,0.12258511630289,
110.,0.7628004344087,0.68775596305218,0.62125623409811,0.55142823679326,0.47915149517673,0.40471581471168,0.32667517741864,0.23752116232318,0.12181441063066,
111.,0.76162363594973,0.68626290563051,0.61961725550694,0.54970446310367,0.47741790130668,0.40305762803301,0.32518511768353,0.23630146245873,0.12104410959572,
112.,0.76043531110304,0.68475624098223,0.61796486857139,0.54796830698005,0.47567368221765,0.40139110638224,0.32368930892922,0.23507885341436,0.12027422560981,
113.,0.75923532420663,0.68323581740981,0.61629894653386,0.54621967481305,0.47391878004367,0.39971622421936,0.32218774989123,0.23385334897145,0.1195047712584,
114.,0.75802353699468,0.68170148195857,0.61461936214914,0.54445847322704,0.47215313768254,0.39803295701782,0.32068044027739,0.23262496360096,0.11873575930406,
115.,0.75679980865589,0.68015308041505,0.61292598769845,0.54268460910399,0.47037669882201,0.39634128128649,0.31916738078217,0.23139371247032,0.11796720268982,
116.,0.75556399588506,0.67859045730804,0.61121869500659,0.54089798961047,0.46858940796876,0.39464117459388,0.31764857310265,0.23015961145115,0.11719911454246,
117.,0.75431595292879,0.67701345591218,0.60949735546213,0.53909852222769,0.46679121048005,0.3929326155945,0.31612401995587,0.22892267712771,0.11643150817575,
118.,0.75305553162594,0.67542191825425,0.60776184004057,0.53728611478447,0.46498205259799,0.39121558405728,0.31459372509773,0.22768292680614,0.11566439709368,
119.,0.75178258144335,0.67381568512194,0.60601201933038,0.53546067549317,0.46316188148641,0.38949006089595,0.31305769334314,0.22644037852425,0.11489779499372,
120.,0.75049694950763,0.67219459607522,0.60424776356204,0.53362211298838,0.46133064527005,0.38775602820125,0.31151593058734,0.22519505106209,0.11413171576992,
121.,0.74919848063332,0.6705584894603,0.60246894263984,0.53177033636848,0.45948829307622,0.38601346927499,0.30996844382857,0.22394696395291,0.11336617351618,
122.,0.74788701734797,0.66890720242614,0.60067542617664,0.52990525523989,0.4576347750788,0.38426236866582,0.30841524119165,0.22269613749476,0.11260118252937,
123.,0.74656239991461,0.66724057094353,0.59886708353152,0.52802677976411,0.45577004254442,0.38250271220662,0.30685633195278,0.22144259276257,0.11183675731249,
124.,0.74522446635197,0.66555842982686,0.59704378385021,0.52613482070752,0.45389404788099,0.38073448705354,0.30529172656523,0.22018635162066,0.11107291257782,
125.,0.74387305245283,0.66386061275859,0.59520539610859,0.52422928949376,0.45200674468839,0.37895768172664,0.30372143668607,0.21892743673572,0.11030966325011,