t,x1,x2,x3,
0.1,-22.092919984079,-13.410983345862,51.39964699526,
0.2,-3.4836963139955,13.785327688266,37.619332619386,
0.3,6.7614335580218,11.251218914492,32.735778137922,
0.4,7.9305608918499,6.8342984922092,31.90804967613,
0.5,6.2394300141087,4.5524489498641,28.530702324081,
0.6,5.1839032267789,4.8629100529431,24.694455049496,
0.7,5.62110499194,6.8027427997657,22.133936524997,
0.8,7.4667377956687,9.8976652284577,22.252541094631,
0.9,9.9974331525563,12.176592522316,26.411324465981,
1.,10.726235909475,9.6994804252934,31.481270687636,
1.1,8.3517117062988,5.2664286532488,31.088089142629,
1.2,5.7630161890064,3.9423119693624,27.115475009237,
1.3,4.8930964960351,4.9571899139452,23.300526739167,
1.4,5.7698589643242,7.4507381105735,21.17405851258,
1.5,8.1253847468543,11.005108937516,22.40616990918,
1.6,10.777512660672,12.565679531883,28.078000670225,
1.7,10.577626924747,8.3311078568077,32.619779847266,
1.8,7.39813475825,4.0857568107238,30.416437027474,
1.9,4.957265027806,3.5469835339789,25.827535021122,
2.,4.537823798462,5.0390461161822,22.021388100252,
2.1,5.8731350627943,8.0130989629359,20.293220165865,
2.2,8.6963332735514,12.006712255553,22.523802998387,
2.3,11.398326816145,12.708189902539,29.566027807004,
2.4,10.319043695497,7.0277067644128,33.381659229786,
2.5,6.5474997103464,3.1354200635857,29.770311769157,
2.6,4.2674366974413,3.1450943043056,24.765869996185,
2.7,4.1275785510161,4.8904494900184,20.892357306169,
2.8,5.743974272417,8.2048509418408,19.272311121921,
2.9,8.9641068662669,12.712464437093,22.137022563334,
3.,11.974164755271,13.207826467798,30.483388622383,
3.1,10.291982183938,6.2214397200511,34.107758355688,
3.2,5.9685298606681,2.2935090547709,29.586586714491,
3.3,3.5994922188242,2.4968229852512,24.155148956772,
3.4,3.4744352995397,4.2181703959698,19.992000520675,
3.5,5.0483172374296,7.5039794404455,17.892489262038,
3.6,8.4584142878825,12.677046035348,20.251582024101,
3.7,12.337658080359,14.675012976103,29.625327860275,
3.8,11.159977533086,6.6865170108261,35.442138096396,
3.9,6.0094643127287,1.4472124579608,30.586389700108,
4.,2.978412379162,1.3942585088977,24.510525293822,
4.1,2.4187749616102,2.700881128332,19.730627314739,
4.2,3.4223440199572,5.1705186506935,16.5165733683,
4.3,6.1272666978844,9.9617872116916,16.135866466091,
4.4,10.943407122399,16.124063567138,23.050048081947,
4.5,13.58794281662,12.050167601508,35.713067458685,
4.6,8.4200174892674,1.6513585496137,34.656367401546,
4.7,3.1136622151101,-0.33031012149893,27.3978022065,
4.8,1.1440360877786,0.28110073299507,21.536990386457,
4.9,0.8636436273547,1.0196141131787,16.994180839506,
5.,1.3596802766744,2.2290436529197,13.519920551392,
5.1,2.8114877168764,5.0247726258004,11.288952052686,
5.2,6.3210001930308,11.443709101326,12.15939813801,
5.3,12.936897814068,19.899142426577,23.851343653674,
5.4,14.776680093817,9.3526774335659,40.718911329293,
5.5,5.9808098961543,-2.6892483223303,34.32519689744,
5.6,0.11050668081422,-3.2784745593564,26.295635022143,
5.7,-2.0532121135638,-3.5556225136973,21.036867127203,
5.8,-3.6556399955737,-5.6323506528171,17.696203242422,
5.9,-6.4407129498389,-10.16741029027,17.457873415451,
6.,-10.897919366975,-15.456211791646,24.07425128251,
6.1,-12.999245303104,-11.370638010939,35.0168449438,
6.2,-8.3304582012369,-2.3269880162115,33.910736695128,
6.3,-3.6041664893472,-0.50964870888609,27.20692549674,
6.4,-1.8913617970542,-1.2870816121621,21.578340140496,
6.5,-1.9908085106686,-2.6938632968896,17.301646381411,
6.6,-3.3442150193927,-5.4608114928753,14.550801837835,
6.7,-6.5853835481485,-11.13094526121,15.089659312402,
6.8,-12.122505046272,-17.727754481954,24.524927542769,
6.9,-13.835572946574,-10.087539605166,38.083352473793,
7.,-6.9984325456424,0.32512712550849,33.940138098983,
7.1,-1.7834943746139,1.3333904809701,26.312088852232,
7.2,3.620152128968e-002,0.98334450865261,20.626454447231,
7.3,0.70697450265542,1.2880628871868,16.267755264655,
7.4,1.4684631421566,2.5366456866417,12.975548524305,
7.5,3.1781975382813,5.7413736993702,11.048189579472,
7.6,7.1827971879966,12.913636022386,12.952741459929,
7.7,14.007597253128,20.193254212785,27.140809260868,
7.8,13.765896471408,6.2892530293375,40.987039341442,
7.9,4.6730638718465,-3.1343830993174,32.830803802605,
8.,-0.42344671809229,-3.283455562984,25.334749078436,
8.1,-2.3400176779141,-3.8121276449538,20.403084709075,
8.2,-4.0590044981031,-6.2738417200253,17.46433353347,
8.3,-7.1595541257842,-11.218623515382,18.119211125797,
8.4,-11.655952014236,-15.708723424887,26.179312367382,
8.5,-12.519838688585,-9.4614633524477,35.77283810557,
8.6,-7.3052627937182,-1.6545451633553,32.702089844645,
8.7,-3.1540773034812,-0.65136323036916,26.098384038858,
8.8,-1.8828305372594,-1.5828612287725,20.743497175719,
8.9,-2.2390569718406,-3.2022989121642,16.734795660729,
9.,-3.9462976875028,-6.5196292896395,14.489365354561,
9.1,-7.7177415013533,-12.854816993942,16.3555790908,
9.2,-13.219944536289,-17.540260117918,28.354447218541,
9.3,-12.628983094608,-6.7362117533367,38.367065938894,
9.4,-5.4902059258661,0.82893525345233,31.972575849634,
9.5,-1.2697855381747,1.0797839556844,24.843542648182,
9.6,7.9089911802989e-002,0.77910858133916,19.503030534907,
9.7,0.60208638525616,1.0908062166951,15.373343882546,
9.8,1.2759461664712,2.2404188085405,12.231281819105,
9.9,2.8249706873093,5.1808686137547,10.275914267926,
10.,6.5975937899586,12.11572002458,11.664187060004,